state,district,city_name,latitude,longitude,population,source
"Madhya Pradesh","Morena","Morena","26.4933562","77.9909949","200506","Vynex Indian Cities Geodata"
"Haryana","Bhiwani","Bhiwani","28.7990445","76.1335112","197662","Vynex Indian Cities Geodata"
"Gujarat","Porbandar","Porbandar","21.6417069","69.6292654","151770","Vynex Indian Cities Geodata"
"Kerala","Palakkad","Palakkad","10.7867303","76.6547932","131019","Vynex Indian Cities Geodata"
"Gujarat","Anand","Anand","22.5645175","72.928871","198282","Vynex Indian Cities Geodata"
"Bihar","Purnia","Purnia","25.7771391","87.4752551","310817","Vynex Indian Cities Geodata"
"West Bengal","Murshidabad","Baharampur","24.164895","88.274906","305609","Vynex Indian Cities Geodata"
"Rajasthan","Barmer","Barmer","25.7531537","71.4180622","189715","Vynex Indian Cities Geodata"
"Gujarat","","Morvi","","","","Existing IRTMS India city catalog"
"Uttar Pradesh","Jalaun","Orai","26.00864","79.4478858","190625","Vynex Indian Cities Geodata"
"Uttar Pradesh","Bahraich","Bahraich","27.5708377","81.5980246","186241","Vynex Indian Cities Geodata"
"Rajasthan","Sikar","Sikar","27.6094","75.139911","244497","Vynex Indian Cities Geodata"
"Tamil Nadu","Vellore","Vellore","12.9165167","79.1324986","481966","Vynex Indian Cities Geodata"
"Madhya Pradesh","Singrauli","Singrauli","24.200261","82.663989","220295","Vynex Indian Cities Geodata"
"Telangana","Khammam","Khammam","17.247318","80.151443","184210","Vynex Indian Cities Geodata"
"Gujarat","","Mahesana","","","","Existing IRTMS India city catalog"
"Assam","Cachar","Silchar","24.8332708","92.7789054","228985","Vynex Indian Cities Geodata"
"Odisha","Sambalpur","Sambalpur","21.4668716","83.9811665","269575","Vynex Indian Cities Geodata"
"Madhya Pradesh","Rewa","Rewa","24.5372927","81.30418","235422","Vynex Indian Cities Geodata"
"Uttar Pradesh","Unnao","Unnao","26.5393449","80.4878195","178681","Vynex Indian Cities Geodata"
"West Bengal","","Hugli-Chinsurah","","","","Existing IRTMS India city catalog"
"West Bengal","Uttar Dinajpur","Raiganj","25.6185295","88.1255837","199758","Vynex Indian Cities Geodata"
"Jharkhand","Bokaro","Phusro","23.7622641","86.0020693","186139","Vynex Indian Cities Geodata"
"Jharkhand","","Adityapur","","","","Existing IRTMS India city catalog"
"Kerala","Alappuzha","Alappuzha","9.4980667","76.3388484","174164","Vynex Indian Cities Geodata"
"Haryana","Jhajjar","Bahadurgarh","28.6924464","76.9239727","170426","Vynex Indian Cities Geodata"
"Andhra Pradesh","Krishna","Machilipatnam","16.1905457","81.1361543","169892","Vynex Indian Cities Geodata"
"Uttar Pradesh","Raebareli","Rae Bareli","26.2345298","81.2408689","191625","Vynex Indian Cities Geodata"
"West Bengal","Jalpaiguri","Jalpaiguri","26.5434772","88.7205256","303874","Vynex Indian Cities Geodata"
"Gujarat","Bharuch","Bharuch","21.701963","72.99996","169007","Vynex Indian Cities Geodata"
"Punjab","Pathankot","Pathankot","32.2643375","75.6421121","143357","Vynex Indian Cities Geodata"
"Punjab","Hoshiarpur","Hoshiarpur","31.5143178","75.911483","168443","Vynex Indian Cities Geodata"
"Jammu and Kashmir","","Baramula","","","","Existing IRTMS India city catalog"
"Andhra Pradesh","Kurnool","Adoni","15.6322227","77.2728368","166537","Vynex Indian Cities Geodata"
"Haryana","Jind","Jind","29.3211153","76.3058328","166225","Vynex Indian Cities Geodata"
